Finished inserting in 14.664182 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 1, nodes: 1]
Assembled in 61.517191 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 1, nodes: 1]
Finished inserting in 9.927867 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 2, nodes: 1]
Assembled in 36.076015 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 2, nodes: 1]
Finished inserting in 4.311451 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 4, nodes: 1]
Assembled in 17.635536 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 4, nodes: 1]
Finished inserting in 2.340468 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 8, nodes: 1]
Assembled in 9.678707 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 8, nodes: 1]
Finished inserting in 1.795814 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 10, nodes: 1]
Assembled in 7.525773 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 10, nodes: 1]
Finished inserting in 1.060039 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 16, nodes: 1]
Assembled in 4.588748 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 16, nodes: 1]
Finished inserting in 1.276376 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 20, nodes: 1]
Assembled in 5.215904 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 20, nodes: 1]
Finished inserting in 1.144996 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 30, nodes: 1]
Assembled in 4.207756 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 30, nodes: 1]
Finished inserting in 0.623633 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 32, nodes: 1]
Assembled in 3.122777 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 32, nodes: 1]
Finished inserting in 0.491855 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 40, nodes: 1]
Assembled in 2.811793 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 40, nodes: 1]
Finished inserting in 0.800463 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 50, nodes: 1]
Assembled in 2.987524 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 50, nodes: 1]
Finished inserting in 0.615280 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 60, nodes: 1]
Assembled in 2.490719 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 60, nodes: 1]
Finished inserting in 0.406510 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 64, nodes: 1]
Assembled in 1.926679 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 64, nodes: 1]
Finished inserting in 9.520540 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 1, nodes: 2]
Assembled in 35.583574 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 1, nodes: 2]
Finished inserting in 4.362076 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 2, nodes: 2]
Assembled in 17.515189 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 2, nodes: 2]
Finished inserting in 2.296423 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 4, nodes: 2]
Assembled in 9.459281 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 4, nodes: 2]
Finished inserting in 1.196841 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 8, nodes: 2]
Assembled in 5.640424 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 8, nodes: 2]
